id,user_id,record_date,record_time_slot,attendance_type,note,source,is_approved,approved_by,approved_at,created_at,updated_at,deleted_at
17,17,2025-08-01,full_day,onsite,,self,True,1,2025-08-01 17:04:00,2025-08-01 09:22:00,2025-08-01 17:04:00,
18,18,2025-08-01,full_day,onsite,,self,True,1,2025-08-01 17:32:00,2025-08-01 09:07:00,2025-08-01 17:32:00,
19,19,2025-08-01,full_day,onsite,,self,True,5,2025-08-01 17:36:00,2025-08-01 09:15:00,2025-08-01 17:36:00,
20,20,2025-08-01,full_day,remote,,staff,True,1,2025-08-01 17:42:00,2025-08-01 09:13:00,2025-08-01 17:42:00,
21,21,2025-08-01,full_day,onsite,,self,True,1,2025-08-01 17:03:00,2025-08-01 09:12:00,2025-08-01 17:03:00,
22,22,2025-08-01,full_day,onsite,,self,True,2,2025-08-01 17:34:00,2025-08-01 09:14:00,2025-08-01 17:34:00,
23,23,2025-08-01,full_day,remote,,self,True,1,2025-08-01 17:28:00,2025-08-01 09:25:00,2025-08-01 17:28:00,
24,24,2025-08-01,full_day,onsite,,self,True,5,2025-08-01 17:53:00,2025-08-01 09:00:00,2025-08-01 17:53:00,
25,25,2025-08-01,full_day,onsite,,staff,True,4,2025-08-01 17:30:00,2025-08-01 09:06:00,2025-08-01 17:30:00,
26,1,2025-08-04,full_day,onsite,,self,True,4,2025-08-04 17:16:00,2025-08-04 09:29:00,2025-08-04 17:16:00,
27,2,2025-08-04,full_day,remote,,self,True,5,2025-08-04 17:42:00,2025-08-04 09:22:00,2025-08-04 17:42:00,
28,3,2025-08-04,full_day,onsite,,self,True,5,2025-08-04 17:47:00,2025-08-04 09:17:00,2025-08-04 17:47:00,
29,4,2025-08-04,full_day,onsite,,self,True,5,2025-08-04 17:58:00,2025-08-04 09:27:00,2025-08-04 17:58:00,
30,5,2025-08-04,full_day,onsite,,self,True,1,2025-08-04 17:38:00,2025-08-04 09:02:00,2025-08-04 17:38:00,
31,6,2025-08-04,full_day,onsite,,self,True,5,2025-08-04 17:15:00,2025-08-04 09:18:00,2025-08-04 17:15:00,
32,7,2025-08-04,full_day,remote,,self,True,5,2025-08-04 17:33:00,2025-08-04 09:10:00,2025-08-04 17:33:00,
33,8,2025-08-04,full_day,onsite,,self,True,4,2025-08-04 17:08:00,2025-08-04 09:21:00,2025-08-04 17:08:00,
34,9,2025-08-04,full_day,onsite,,staff,True,5,2025-08-04 17:36:00,2025-08-04 09:03:00,2025-08-04 17:36:00,
35,10,2025-08-04,full_day,onsite,,staff,True,3,2025-08-04 17:56:00,2025-08-04 09:02:00,2025-08-04 17:56:00,
36,11,2025-08-04,full_day,onsite,,self,True,5,2025-08-04 17:45:00,2025-08-04 09:09:00,2025-08-04 17:45:00,
37,12,2025-08-04,full_day,absent,体調不良のため,staff,True,5,2025-08-04 17:00:00,2025-08-04 09:17:00,2025-08-04 17:00:00,
38,13,2025-08-04,full_day,onsite,,self,True,1,2025-08-04 17:47:00,2025-08-04 09:17:00,2025-08-04 17:47:00,
39,14,2025-08-04,full_day,onsite,,self,True,2,2025-08-04 17:43:00,2025-08-04 09:20:00,2025-08-04 17:43:00,
40,15,2025-08-04,full_day,onsite,,self,True,1,2025-08-04 17:05:00,2025-08-04 09:20:00,2025-08-04 17:05:00,
41,16,2025-08-04,full_day,onsite,,self,True,2,2025-08-04 17:40:00,2025-08-04 09:08:00,2025-08-04 17:40:00,
42,17,2025-08-04,full_day,remote,,self,True,1,2025-08-04 17:04:00,2025-08-04 09:30:00,2025-08-04 17:04:00,
43,18,2025-08-04,full_day,onsite,,self,True,5,2025-08-04 17:35:00,2025-08-04 09:04:00,2025-08-04 17:35:00,
44,19,2025-08-04,full_day,onsite,,self,True,1,2025-08-04 17:57:00,2025-08-04 09:11:00,2025-08-04 17:57:00,
45,20,2025-08-04,full_day,onsite,,self,True,5,2025-08-04 17:56:00,2025-08-04 09:27:00,2025-08-04 17:56:00,
46,21,2025-08-04,full_day,onsite,,self,True,2,2025-08-04 17:55:00,2025-08-04 09:05:00,2025-08-04 17:55:00,
47,22,2025-08-04,full_day,remote,,staff,True,3,2025-08-04 17:50:00,2025-08-04 09:29:00,2025-08-04 17:50:00,
48,23,2025-08-04,full_day,onsite,,self,True,1,2025-08-04 17:24:00,2025-08-04 09:27:00,2025-08-04 17:24:00,
49,24,2025-08-04,full_day,onsite,,self,True,4,2025-08-04 17:22:00,2025-08-04 09:09:00,2025-08-04 17:22:00,
50,25,2025-08-04,full_day,onsite,,staff,True,2,2025-08-04 17:25:00,2025-08-04 09:10:00,2025-08-04 17:25:00,
51,1,2025-08-05,full_day,onsite,,self,True,5,2025-08-05 17:25:00,2025-08-05 09:21:00,2025-08-05 17:25:00,
52,2,2025-08-05,full_day,onsite,,staff,True,3,2025-08-05 17:11:00,2025-08-05 09:18:00,2025-08-05 17:11:00,
53,3,2025-08-05,full_day,onsite,,self,True,3,2025-08-05 17:46:00,2025-08-05 09:25:00,2025-08-05 17:46:00,
54,4,2025-08-05,full_day,onsite,,self,True,5,2025-08-05 17:12:00,2025-08-05 09:08:00,2025-08-05 17:12:00,
55,5,2025-08-05,full_day,onsite,,self,True,1,2025-08-05 18:00:00,2025-08-05 09:21:00,2025-08-05 18:00:00,
56,6,2025-08-05,full_day,onsite,,self,True,3,2025-08-05 17:32:00,2025-08-05 09:09:00,2025-08-05 17:32:00,
57,7,2025-08-05,full_day,onsite,,self,True,2,2025-08-05 17:26:00,2025-08-05 09:21:00,2025-08-05 17:26:00,
58,8,2025-08-05,full_day,onsite,,self,True,3,2025-08-05 17:25:00,2025-08-05 09:17:00,2025-08-05 17:25:00,
59,9,2025-08-05,full_day,onsite,,self,True,5,2025-08-05 17:38:00,2025-08-05 09:20:00,2025-08-05 17:38:00,
60,10,2025-08-05,full_day,onsite,,self,True,2,2025-08-05 17:42:00,2025-08-05 09:02:00,2025-08-05 17:42:00,
61,11,2025-08-05,full_day,onsite,,staff,True,2,2025-08-05 17:43:00,2025-08-05 09:09:00,2025-08-05 17:43:00,
62,12,2025-08-05,full_day,onsite,,staff,True,4,2025-08-05 17:39:00,2025-08-05 09:27:00,2025-08-05 17:39:00,
63,13,2025-08-05,full_day,onsite,,self,True,4,2025-08-05 17:31:00,2025-08-05 09:12:00,2025-08-05 17:31:00,
64,14,2025-08-05,full_day,onsite,,self,True,1,2025-08-05 17:49:00,2025-08-05 09:13:00,2025-08-05 17:49:00,
65,15,2025-08-05,full_day,remote,,staff,True,2,2025-08-05 17:58:00,2025-08-05 09:27:00,2025-08-05 17:58:00,
66,16,2025-08-05,full_day,remote,,self,True,5,2025-08-05 17:38:00,2025-08-05 09:10:00,2025-08-05 17:38:00,
67,17,2025-08-05,full_day,remote,,self,True,5,2025-08-05 17:28:00,2025-08-05 09:28:00,2025-08-05 17:28:00,
68,18,2025-08-05,full_day,absent,体調不良のため,staff,True,4,2025-08-05 17:16:00,2025-08-05 09:26:00,2025-08-05 17:16:00,
69,19,2025-08-05,full_day,remote,,self,True,3,2025-08-05 17:28:00,2025-08-05 09:02:00,2025-08-05 17:28:00,
70,20,2025-08-05,full_day,onsite,,self,True,5,2025-08-05 17:05:00,2025-08-05 09:04:00,2025-08-05 17:05:00,
71,21,2025-08-05,full_day,onsite,,self,True,1,2025-08-05 17:26:00,2025-08-05 09:13:00,2025-08-05 17:26:00,
72,22,2025-08-05,full_day,onsite,,self,True,4,2025-08-05 17:24:00,2025-08-05 09:28:00,2025-08-05 17:24:00,
73,23,2025-08-05,full_day,absent,体調不良のため,staff,True,1,2025-08-05 17:54:00,2025-08-05 09:18:00,2025-08-05 17:54:00,
74,24,2025-08-05,full_day,onsite,,self,True,4,2025-08-05 17:54:00,2025-08-05 09:28:00,2025-08-05 17:54:00,
75,25,2025-08-05,full_day,onsite,,self,True,3,2025-08-05 17:27:00,2025-08-05 09:15:00,2025-08-05 17:27:00,
76,1,2025-08-06,full_day,remote,,self,True,4,2025-08-06 17:58:00,2025-08-06 09:04:00,2025-08-06 17:58:00,
77,2,2025-08-06,full_day,remote,,self,True,1,2025-08-06 17:05:00,2025-08-06 09:20:00,2025-08-06 17:05:00,
78,3,2025-08-06,full_day,absent,,staff,True,2,2025-08-06 17:03:00,2025-08-06 09:10:00,2025-08-06 17:03:00,
79,4,2025-08-06,full_day,remote,,self,True,4,2025-08-06 17:16:00,2025-08-06 09:26:00,2025-08-06 17:16:00,
80,5,2025-08-06,full_day,onsite,,self,True,3,2025-08-06 17:14:00,2025-08-06 09:20:00,2025-08-06 17:14:00,
81,6,2025-08-06,full_day,absent,,staff,True,1,2025-08-06 17:48:00,2025-08-06 09:07:00,2025-08-06 17:48:00,
82,7,2025-08-06,full_day,onsite,,self,True,4,2025-08-06 17:42:00,2025-08-06 09:03:00,2025-08-06 17:42:00,
83,8,2025-08-06,full_day,onsite,,self,True,2,2025-08-06 17:38:00,2025-08-06 09:19:00,2025-08-06 17:38:00,
84,9,2025-08-06,full_day,onsite,,self,True,1,2025-08-06 17:37:00,2025-08-06 09:00:00,2025-08-06 17:37:00,
85,10,2025-08-06,full_day,remote,,self,True,2,2025-08-06 17:04:00,2025-08-06 09:18:00,2025-08-06 17:04:00,
86,11,2025-08-06,full_day,onsite,,self,True,3,2025-08-06 17:54:00,2025-08-06 09:21:00,2025-08-06 17:54:00,
87,12,2025-08-06,full_day,onsite,,self,True,4,2025-08-06 17:42:00,2025-08-06 09:11:00,2025-08-06 17:42:00,
88,13,2025-08-06,full_day,onsite,,self,True,4,2025-08-06 17:06:00,2025-08-06 09:13:00,2025-08-06 17:06:00,
89,14,2025-08-06,full_day,remote,,self,True,4,2025-08-06 17:11:00,2025-08-06 09:23:00,2025-08-06 17:11:00,
90,15,2025-08-06,full_day,remote,,self,True,5,2025-08-06 17:17:00,2025-08-06 09:10:00,2025-08-06 17:17:00,
91,16,2025-08-06,full_day,onsite,,self,True,4,2025-08-06 17:15:00,2025-08-06 09:24:00,2025-08-06 17:15:00,
92,17,2025-08-06,full_day,remote,,self,True,4,2025-08-06 17:54:00,2025-08-06 09:10:00,2025-08-06 17:54:00,
93,18,2025-08-06,full_day,onsite,,self,True,5,2025-08-06 17:44:00,2025-08-06 09:28:00,2025-08-06 17:44:00,
94,19,2025-08-06,full_day,onsite,,staff,True,4,2025-08-06 17:31:00,2025-08-06 09:17:00,2025-08-06 17:31:00,
95,20,2025-08-06,full_day,remote,,self,True,1,2025-08-06 17:05:00,2025-08-06 09:09:00,2025-08-06 17:05:00,
96,21,2025-08-06,full_day,onsite,,self,True,3,2025-08-06 17:30:00,2025-08-06 09:17:00,2025-08-06 17:30:00,
97,22,2025-08-06,full_day,onsite,,self,True,4,2025-08-06 17:17:00,2025-08-06 09:09:00,2025-08-06 17:17:00,
98,23,2025-08-06,full_day,onsite,,self,True,5,2025-08-06 18:00:00,2025-08-06 09:24:00,2025-08-06 18:00:00,
99,24,2025-08-06,full_day,remote,,self,True,5,2025-08-06 17:48:00,2025-08-06 09:16:00,2025-08-06 17:48:00,
100,25,2025-08-06,full_day,absent,,staff,True,2,2025-08-06 17:18:00,2025-08-06 09:05:00,2025-08-06 17:18:00,
101,1,2025-08-07,full_day,onsite,,self,True,1,2025-08-07 17:35:00,2025-08-07 09:09:00,2025-08-07 17:35:00,
102,2,2025-08-07,full_day,remote,,staff,True,1,2025-08-07 17:36:00,2025-08-07 09:09:00,2025-08-07 17:36:00,
103,3,2025-08-07,full_day,onsite,,self,True,3,2025-08-07 18:00:00,2025-08-07 09:27:00,2025-08-07 18:00:00,
104,4,2025-08-07,full_day,remote,,self,True,5,2025-08-07 17:40:00,2025-08-07 09:21:00,2025-08-07 17:40:00,
105,5,2025-08-07,full_day,onsite,,staff,True,2,2025-08-07 17:07:00,2025-08-07 09:17:00,2025-08-07 17:07:00,
106,6,2025-08-07,full_day,onsite,,self,True,4,2025-08-07 17:28:00,2025-08-07 09:29:00,2025-08-07 17:28:00,
107,7,2025-08-07,full_day,remote,,self,True,5,2025-08-07 17:03:00,2025-08-07 09:19:00,2025-08-07 17:03:00,
108,8,2025-08-07,full_day,onsite,,self,True,3,2025-08-07 17:42:00,2025-08-07 09:02:00,2025-08-07 17:42:00,
109,9,2025-08-07,full_day,onsite,,staff,True,4,2025-08-07 17:28:00,2025-08-07 09:22:00,2025-08-07 17:28:00,
110,10,2025-08-07,full_day,onsite,,self,True,3,2025-08-07 17:44:00,2025-08-07 09:27:00,2025-08-07 17:44:00,
111,11,2025-08-07,full_day,onsite,,self,True,5,2025-08-07 17:42:00,2025-08-07 09:25:00,2025-08-07 17:42:00,
112,12,2025-08-07,full_day,onsite,,self,True,3,2025-08-07 17:52:00,2025-08-07 09:04:00,2025-08-07 17:52:00,
113,13,2025-08-07,full_day,onsite,,self,True,5,2025-08-07 17:58:00,2025-08-07 09:09:00,2025-08-07 17:58:00,
114,14,2025-08-07,full_day,onsite,,self,True,3,2025-08-07 17:32:00,2025-08-07 09:17:00,2025-08-07 17:32:00,
115,15,2025-08-07,full_day,onsite,,self,True,3,2025-08-07 17:38:00,2025-08-07 09:08:00,2025-08-07 17:38:00,
116,16,2025-08-07,full_day,onsite,,self,True,3,2025-08-07 17:36:00,2025-08-07 09:01:00,2025-08-07 17:36:00,
117,17,2025-08-07,full_day,remote,,self,True,2,2025-08-07 17:37:00,2025-08-07 09:13:00,2025-08-07 17:37:00,
118,18,2025-08-07,full_day,onsite,,self,True,4,2025-08-07 17:21:00,2025-08-07 09:10:00,2025-08-07 17:21:00,
119,19,2025-08-07,full_day,onsite,,self,True,4,2025-08-07 17:18:00,2025-08-07 09:21:00,2025-08-07 17:18:00,
120,20,2025-08-07,full_day,onsite,,self,True,3,2025-08-07 17:16:00,2025-08-07 09:10:00,2025-08-07 17:16:00,
121,21,2025-08-07,full_day,onsite,,self,True,5,2025-08-07 17:29:00,2025-08-07 09:13:00,2025-08-07 17:29:00,
122,22,2025-08-07,full_day,remote,,self,True,1,2025-08-07 17:13:00,2025-08-07 09:08:00,2025-08-07 17:13:00,
123,23,2025-08-07,full_day,absent,体調不良のため,staff,True,4,2025-08-07 17:56:00,2025-08-07 09:03:00,2025-08-07 17:56:00,
124,24,2025-08-07,full_day,onsite,,self,True,3,2025-08-07 17:35:00,2025-08-07 09:00:00,2025-08-07 17:35:00,
125,25,2025-08-07,full_day,onsite,,self,True,1,2025-08-07 17:41:00,2025-08-07 09:26:00,2025-08-07 17:41:00,
126,1,2025-08-08,full_day,absent,体調不良のため,staff,True,3,2025-08-08 17:32:00,2025-08-08 09:13:00,2025-08-08 17:32:00,
127,2,2025-08-08,full_day,absent,体調不良のため,staff,True,2,2025-08-08 17:29:00,2025-08-08 09:12:00,2025-08-08 17:29:00,
128,3,2025-08-08,full_day,onsite,,self,True,3,2025-08-08 17:49:00,2025-08-08 09:25:00,2025-08-08 17:49:00,
129,4,2025-08-08,full_day,onsite,,self,True,3,2025-08-08 17:46:00,2025-08-08 09:09:00,2025-08-08 17:46:00,
130,5,2025-08-08,full_day,remote,,self,True,4,2025-08-08 17:34:00,2025-08-08 09:15:00,2025-08-08 17:34:00,
131,6,2025-08-08,full_day,remote,,self,True,3,2025-08-08 17:55:00,2025-08-08 09:06:00,2025-08-08 17:55:00,
132,7,2025-08-08,full_day,remote,,self,True,4,2025-08-08 17:02:00,2025-08-08 09:10:00,2025-08-08 17:02:00,
133,8,2025-08-08,full_day,remote,,self,True,2,2025-08-08 17:31:00,2025-08-08 09:30:00,2025-08-08 17:31:00,
134,9,2025-08-08,full_day,onsite,,self,True,4,2025-08-08 17:06:00,2025-08-08 09:16:00,2025-08-08 17:06:00,
135,10,2025-08-08,full_day,onsite,,self,True,2,2025-08-08 17:04:00,2025-08-08 09:15:00,2025-08-08 17:04:00,
136,11,2025-08-08,full_day,remote,,self,True,3,2025-08-08 17:54:00,2025-08-08 09:21:00,2025-08-08 17:54:00,
137,12,2025-08-08,full_day,onsite,,self,True,4,2025-08-08 17:55:00,2025-08-08 09:17:00,2025-08-08 17:55:00,
138,13,2025-08-08,full_day,onsite,,self,True,1,2025-08-08 17:27:00,2025-08-08 09:03:00,2025-08-08 17:27:00,
139,14,2025-08-08,full_day,onsite,,self,True,3,2025-08-08 17:57:00,2025-08-08 09:00:00,2025-08-08 17:57:00,
140,15,2025-08-08,full_day,onsite,,self,True,4,2025-08-08 17:09:00,2025-08-08 09:07:00,2025-08-08 17:09:00,
141,16,2025-08-08,full_day,onsite,,staff,True,1,2025-08-08 17:39:00,2025-08-08 09:27:00,2025-08-08 17:39:00,
142,17,2025-08-08,full_day,remote,,self,True,2,2025-08-08 17:14:00,2025-08-08 09:14:00,2025-08-08 17:14:00,
143,18,2025-08-08,full_day,onsite,,self,True,4,2025-08-08 17:57:00,2025-08-08 09:09:00,2025-08-08 17:57:00,
144,19,2025-08-08,full_day,remote,,self,True,5,2025-08-08 17:19:00,2025-08-08 09:20:00,2025-08-08 17:19:00,
145,20,2025-08-08,full_day,remote,,self,True,2,2025-08-08 17:24:00,2025-08-08 09:27:00,2025-08-08 17:24:00,
146,21,2025-08-08,full_day,onsite,,self,True,3,2025-08-08 17:01:00,2025-08-08 09:26:00,2025-08-08 17:01:00,
147,22,2025-08-08,full_day,onsite,,self,True,4,2025-08-08 17:53:00,2025-08-08 09:28:00,2025-08-08 17:53:00,
148,23,2025-08-08,full_day,onsite,,self,True,3,2025-08-08 17:14:00,2025-08-08 09:20:00,2025-08-08 17:14:00,
149,24,2025-08-08,full_day,onsite,,self,True,1,2025-08-08 17:19:00,2025-08-08 09:25:00,2025-08-08 17:19:00,
150,25,2025-08-08,full_day,onsite,,staff,True,3,2025-08-08 17:20:00,2025-08-08 09:23:00,2025-08-08 17:20:00,
151,1,2025-08-11,full_day,onsite,,self,True,3,2025-08-11 17:53:00,2025-08-11 09:05:00,2025-08-11 17:53:00,
152,2,2025-08-11,full_day,remote,,self,True,3,2025-08-11 17:47:00,2025-08-11 09:27:00,2025-08-11 17:47:00,
153,3,2025-08-11,full_day,onsite,,staff,True,2,2025-08-11 17:55:00,2025-08-11 09:21:00,2025-08-11 17:55:00,
154,4,2025-08-11,full_day,absent,,staff,True,5,2025-08-11 17:23:00,2025-08-11 09:12:00,2025-08-11 17:23:00,
155,5,2025-08-11,full_day,remote,,self,True,3,2025-08-11 17:37:00,2025-08-11 09:12:00,2025-08-11 17:37:00,
156,6,2025-08-11,full_day,absent,,staff,True,1,2025-08-11 17:43:00,2025-08-11 09:00:00,2025-08-11 17:43:00,
157,7,2025-08-11,full_day,absent,体調不良のため,staff,True,3,2025-08-11 17:58:00,2025-08-11 09:20:00,2025-08-11 17:58:00,
158,8,2025-08-11,full_day,absent,,staff,True,3,2025-08-11 17:41:00,2025-08-11 09:04:00,2025-08-11 17:41:00,
159,9,2025-08-11,full_day,remote,,staff,True,2,2025-08-11 17:56:00,2025-08-11 09:17:00,2025-08-11 17:56:00,
160,10,2025-08-11,full_day,remote,,self,True,2,2025-08-11 17:56:00,2025-08-11 09:13:00,2025-08-11 17:56:00,
161,11,2025-08-11,full_day,remote,,self,True,3,2025-08-11 17:02:00,2025-08-11 09:22:00,2025-08-11 17:02:00,
162,12,2025-08-11,full_day,onsite,,self,True,1,2025-08-11 17:43:00,2025-08-11 09:11:00,2025-08-11 17:43:00,
163,13,2025-08-11,full_day,absent,,staff,True,3,2025-08-11 17:03:00,2025-08-11 09:06:00,2025-08-11 17:03:00,
164,14,2025-08-11,full_day,absent,体調不良のため,staff,True,4,2025-08-11 17:05:00,2025-08-11 09:20:00,2025-08-11 17:05:00,
165,15,2025-08-11,full_day,absent,,staff,True,1,2025-08-11 17:50:00,2025-08-11 09:04:00,2025-08-11 17:50:00,
166,16,2025-08-11,full_day,onsite,,self,True,2,2025-08-11 17:21:00,2025-08-11 09:24:00,2025-08-11 17:21:00,
167,17,2025-08-11,full_day,absent,体調不良のため,staff,True,1,2025-08-11 17:17:00,2025-08-11 09:04:00,2025-08-11 17:17:00,
168,18,2025-08-11,full_day,onsite,,staff,True,1,2025-08-11 17:08:00,2025-08-11 09:00:00,2025-08-11 17:08:00,
169,19,2025-08-11,full_day,onsite,,staff,True,3,2025-08-11 17:03:00,2025-08-11 09:04:00,2025-08-11 17:03:00,
170,20,2025-08-11,full_day,onsite,,self,True,3,2025-08-11 17:32:00,2025-08-11 09:18:00,2025-08-11 17:32:00,
171,21,2025-08-11,full_day,onsite,,self,True,5,2025-08-11 17:19:00,2025-08-11 09:14:00,2025-08-11 17:19:00,
172,22,2025-08-11,full_day,remote,,self,True,4,2025-08-11 17:43:00,2025-08-11 09:03:00,2025-08-11 17:43:00,
173,23,2025-08-11,full_day,absent,,staff,True,1,2025-08-11 17:57:00,2025-08-11 09:19:00,2025-08-11 17:57:00,
174,24,2025-08-11,full_day,onsite,,self,True,5,2025-08-11 17:33:00,2025-08-11 09:09:00,2025-08-11 17:33:00,
175,25,2025-08-11,full_day,onsite,,self,True,1,2025-08-11 17:54:00,2025-08-11 09:20:00,2025-08-11 17:54:00,
176,1,2025-08-12,full_day,onsite,,self,True,2,2025-08-12 17:26:00,2025-08-12 09:10:00,2025-08-12 17:26:00,
177,2,2025-08-12,full_day,onsite,,self,True,3,2025-08-12 17:42:00,2025-08-12 09:08:00,2025-08-12 17:42:00,
178,3,2025-08-12,full_day,remote,,staff,True,1,2025-08-12 17:05:00,2025-08-12 09:13:00,2025-08-12 17:05:00,
179,4,2025-08-12,full_day,onsite,,self,True,5,2025-08-12 17:35:00,2025-08-12 09:17:00,2025-08-12 17:35:00,
180,5,2025-08-12,full_day,onsite,,self,True,4,2025-08-12 17:55:00,2025-08-12 09:29:00,2025-08-12 17:55:00,
181,6,2025-08-12,full_day,absent,,staff,True,5,2025-08-12 17:19:00,2025-08-12 09:18:00,2025-08-12 17:19:00,
182,7,2025-08-12,full_day,remote,,self,True,1,2025-08-12 17:22:00,2025-08-12 09:27:00,2025-08-12 17:22:00,
183,8,2025-08-12,full_day,onsite,,self,True,4,2025-08-12 17:54:00,2025-08-12 09:17:00,2025-08-12 17:54:00,
184,9,2025-08-12,full_day,onsite,,self,True,3,2025-08-12 17:01:00,2025-08-12 09:05:00,2025-08-12 17:01:00,
185,10,2025-08-12,full_day,onsite,,self,True,2,2025-08-12 17:55:00,2025-08-12 09:04:00,2025-08-12 17:55:00,
186,11,2025-08-12,full_day,onsite,,self,True,1,2025-08-12 17:05:00,2025-08-12 09:23:00,2025-08-12 17:05:00,
187,12,2025-08-12,full_day,remote,,self,True,3,2025-08-12 17:19:00,2025-08-12 09:23:00,2025-08-12 17:19:00,
188,13,2025-08-12,full_day,absent,体調不良のため,staff,True,5,2025-08-12 17:05:00,2025-08-12 09:04:00,2025-08-12 17:05:00,
189,14,2025-08-12,full_day,onsite,,self,True,4,2025-08-12 17:31:00,2025-08-12 09:19:00,2025-08-12 17:31:00,
190,15,2025-08-12,full_day,onsite,,self,True,1,2025-08-12 17:18:00,2025-08-12 09:21:00,2025-08-12 17:18:00,
191,16,2025-08-12,full_day,onsite,,staff,True,4,2025-08-12 17:38:00,2025-08-12 09:01:00,2025-08-12 17:38:00,
192,17,2025-08-12,full_day,onsite,,self,True,3,2025-08-12 17:18:00,2025-08-12 09:10:00,2025-08-12 17:18:00,
193,18,2025-08-12,full_day,remote,,staff,True,4,2025-08-12 17:34:00,2025-08-12 09:22:00,2025-08-12 17:34:00,
194,19,2025-08-12,full_day,onsite,,staff,True,1,2025-08-12 17:27:00,2025-08-12 09:00:00,2025-08-12 17:27:00,
195,20,2025-08-12,full_day,onsite,,self,True,5,2025-08-12 17:25:00,2025-08-12 09:22:00,2025-08-12 17:25:00,
196,21,2025-08-12,full_day,remote,,staff,True,3,2025-08-12 17:10:00,2025-08-12 09:25:00,2025-08-12 17:10:00,
197,22,2025-08-12,full_day,onsite,,staff,True,1,2025-08-12 17:15:00,2025-08-12 09:13:00,2025-08-12 17:15:00,
198,23,2025-08-12,full_day,remote,,self,True,3,2025-08-12 17:14:00,2025-08-12 09:10:00,2025-08-12 17:14:00,
199,24,2025-08-12,full_day,onsite,,self,True,2,2025-08-12 17:57:00,2025-08-12 09:24:00,2025-08-12 17:57:00,
200,25,2025-08-12,full_day,onsite,,self,True,2,2025-08-12 17:16:00,2025-08-12 09:06:00,2025-08-12 17:16:00,
201,1,2025-08-13,full_day,onsite,,staff,True,4,2025-08-13 17:29:00,2025-08-13 09:24:00,2025-08-13 17:29:00,
202,2,2025-08-13,full_day,onsite,,self,True,3,2025-08-13 17:09:00,2025-08-13 09:14:00,2025-08-13 17:09:00,
203,3,2025-08-13,full_day,onsite,,self,True,5,2025-08-13 17:03:00,2025-08-13 09:11:00,2025-08-13 17:03:00,
204,4,2025-08-13,full_day,remote,,staff,True,3,2025-08-13 17:53:00,2025-08-13 09:09:00,2025-08-13 17:53:00,
205,5,2025-08-13,full_day,absent,体調不良のため,staff,True,1,2025-08-13 17:39:00,2025-08-13 09:12:00,2025-08-13 17:39:00,
206,6,2025-08-13,full_day,onsite,,self,True,5,2025-08-13 17:41:00,2025-08-13 09:06:00,2025-08-13 17:41:00,
207,7,2025-08-13,full_day,onsite,,self,True,4,2025-08-13 17:06:00,2025-08-13 09:25:00,2025-08-13 17:06:00,
208,8,2025-08-13,full_day,onsite,,self,True,2,2025-08-13 17:02:00,2025-08-13 09:07:00,2025-08-13 17:02:00,
209,9,2025-08-13,full_day,absent,体調不良のため,staff,True,5,2025-08-13 17:33:00,2025-08-13 09:11:00,2025-08-13 17:33:00,
