id,user_id,report_date,training_summary,training_reflection,condition_note,other_note,created_at,updated_at,deleted_at
20,21,2025-08-01,企業研究と面接準備,実践的な内容で、就職後に役立ちそう。,良好な状態で訓練できた。,,2025-08-01 16:14:00,2025-08-01 16:36:00,
21,22,2025-08-01,企業研究と面接準備,他の利用者と協力して取り組めた。,若干の頭痛があったが、訓練には影響なし。,特になし,2025-08-01 16:48:00,2025-08-01 16:43:00,
22,23,2025-08-01,Webサイト制作演習,今日学んだことを明日も継続したい。,午後は眠気があったが、最後まで頑張った。,,2025-08-01 16:37:00,2025-08-01 16:21:00,
23,24,2025-08-01,Webサイト制作演習,他の利用者と協力して取り組めた。,午後は眠気があったが、最後まで頑張った。,,2025-08-01 16:30:00,2025-08-01 16:46:00,
24,25,2025-08-01,Excel・Wordの実践演習,明日も頑張りたい。,,,2025-08-01 16:56:00,2025-08-01 16:33:00,
25,1,2025-08-04,業務効率化ツールの学習,実践的な内容で、就職後に役立ちそう。,少し疲れたが、問題なく取り組めた。,,2025-08-04 16:06:00,2025-08-04 16:00:00,
26,2,2025-08-04,業務効率化ツールの学習,復習が必要だと感じた。,午後は眠気があったが、最後まで頑張った。,特になし,2025-08-04 16:11:00,2025-08-04 16:07:00,
27,3,2025-08-04,データ入力実務訓練,集中して取り組むことができた。理解が深まった。,,,2025-08-04 16:57:00,2025-08-04 16:54:00,
28,4,2025-08-04,Webサイト制作演習,もう少し時間をかけて学びたかった。,体調は良好。,,2025-08-04 16:45:00,2025-08-04 16:50:00,
29,5,2025-08-04,自己分析ワークショップ,もう少し時間をかけて学びたかった。,特に問題なし。,,2025-08-04 16:37:00,2025-08-04 16:08:00,
30,6,2025-08-04,履歴書・職務経歴書の作成,集中して取り組むことができた。理解が深まった。,体調は良好。,特になし,2025-08-04 16:19:00,2025-08-04 16:17:00,
31,7,2025-08-04,業務効率化ツールの学習,他の利用者と協力して取り組めた。,若干の頭痛があったが、訓練には影響なし。,,2025-08-04 16:04:00,2025-08-04 16:09:00,
32,8,2025-08-04,業務効率化ツールの学習,講師の説明が分かりやすく、理解しやすかった。,良好な状態で訓練できた。,特になし,2025-08-04 16:01:00,2025-08-04 16:09:00,
33,9,2025-08-04,コミュニケーションスキル訓練,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,午後は眠気があったが、最後まで頑張った。,,2025-08-04 16:13:00,2025-08-04 16:46:00,
34,10,2025-08-04,データ入力実務訓練,もう少し時間をかけて学びたかった。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-04 16:33:00,2025-08-04 16:45:00,
35,11,2025-08-04,業務効率化ツールの学習,他の利用者と協力して取り組めた。,体調は良好。,,2025-08-04 16:21:00,2025-08-04 16:40:00,
36,13,2025-08-04,データ入力実務訓練,集中して取り組むことができた。理解が深まった。,,,2025-08-04 16:51:00,2025-08-04 16:05:00,
37,14,2025-08-04,業務効率化ツールの学習,明日も頑張りたい。,体調は良好。,,2025-08-04 16:16:00,2025-08-04 16:45:00,
38,15,2025-08-04,コミュニケーションスキル訓練,達成感がある一日だった。,若干の頭痛があったが、訓練には影響なし。,特になし,2025-08-04 16:44:00,2025-08-04 16:20:00,
39,16,2025-08-04,自己分析ワークショップ,他の利用者と協力して取り組めた。,体調は良好。,特になし,2025-08-04 16:14:00,2025-08-04 16:59:00,
40,17,2025-08-04,Webサイト制作演習,達成感がある一日だった。,特に問題なし。,特になし,2025-08-04 16:13:00,2025-08-04 16:18:00,
41,18,2025-08-04,履歴書・職務経歴書の作成,講師の説明が分かりやすく、理解しやすかった。,朝は少し調子が悪かったが、午後から回復した。,特になし,2025-08-04 16:42:00,2025-08-04 16:47:00,
42,19,2025-08-04,履歴書・職務経歴書の作成,集中して取り組むことができた。理解が深まった。,体調は良好。,特になし,2025-08-04 16:29:00,2025-08-04 16:18:00,
43,20,2025-08-04,履歴書・職務経歴書の作成,実践的な内容で、就職後に役立ちそう。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-04 16:06:00,2025-08-04 16:01:00,
44,21,2025-08-04,企業研究と面接準備,講師の説明が分かりやすく、理解しやすかった。,,,2025-08-04 16:26:00,2025-08-04 16:32:00,
45,22,2025-08-04,自己分析ワークショップ,達成感がある一日だった。,体調良好。集中できた。,特になし,2025-08-04 16:50:00,2025-08-04 16:57:00,
46,23,2025-08-04,コミュニケーションスキル訓練,今日学んだことを明日も継続したい。,良好な状態で訓練できた。,,2025-08-04 16:24:00,2025-08-04 16:48:00,
47,24,2025-08-04,業務効率化ツールの学習,集中して取り組むことができた。理解が深まった。,午後は眠気があったが、最後まで頑張った。,,2025-08-04 16:41:00,2025-08-04 16:05:00,
48,25,2025-08-04,データ入力実務訓練,復習が必要だと感じた。,若干の頭痛があったが、訓練には影響なし。,特になし,2025-08-04 16:16:00,2025-08-04 16:12:00,
49,1,2025-08-05,プログラミング基礎（Python）を学習,実践的な内容で、就職後に役立ちそう。,体調は良好。,,2025-08-05 16:03:00,2025-08-05 16:09:00,
50,2,2025-08-05,Excel・Wordの実践演習,達成感がある一日だった。,特に問題なし。,,2025-08-05 16:10:00,2025-08-05 16:10:00,
51,3,2025-08-05,Webサイト制作演習,明日も頑張りたい。,若干の頭痛があったが、訓練には影響なし。,,2025-08-05 16:21:00,2025-08-05 16:11:00,
52,4,2025-08-05,データ入力実務訓練,もう少し時間をかけて学びたかった。,午後は眠気があったが、最後まで頑張った。,特になし,2025-08-05 16:08:00,2025-08-05 16:33:00,
53,5,2025-08-05,履歴書・職務経歴書の作成,明日も頑張りたい。,体調は良好。,特になし,2025-08-05 16:01:00,2025-08-05 16:08:00,
54,6,2025-08-05,コミュニケーションスキル訓練,他の利用者と協力して取り組めた。,良好な状態で訓練できた。,,2025-08-05 16:13:00,2025-08-05 16:13:00,
55,7,2025-08-05,プログラミング基礎（Python）を学習,講師の説明が分かりやすく、理解しやすかった。,体調良好。集中できた。,,2025-08-05 16:16:00,2025-08-05 16:26:00,
56,8,2025-08-05,データ入力実務訓練,復習が必要だと感じた。,少し疲れたが、問題なく取り組めた。,,2025-08-05 16:07:00,2025-08-05 16:42:00,
57,9,2025-08-05,自己分析ワークショップ,復習が必要だと感じた。,特に問題なし。,,2025-08-05 16:00:00,2025-08-05 16:28:00,
58,10,2025-08-05,自己分析ワークショップ,今日学んだことを明日も継続したい。,,,2025-08-05 16:22:00,2025-08-05 16:48:00,
59,11,2025-08-05,コミュニケーションスキル訓練,講師の説明が分かりやすく、理解しやすかった。,体調良好。集中できた。,特になし,2025-08-05 16:41:00,2025-08-05 16:23:00,
60,12,2025-08-05,Excel・Wordの実践演習,集中して取り組むことができた。理解が深まった。,少し疲れたが、問題なく取り組めた。,,2025-08-05 16:11:00,2025-08-05 16:58:00,
61,13,2025-08-05,Excel・Wordの実践演習,明日も頑張りたい。,,,2025-08-05 16:52:00,2025-08-05 16:31:00,
62,14,2025-08-05,履歴書・職務経歴書の作成,講師の説明が分かりやすく、理解しやすかった。,体調良好。集中できた。,,2025-08-05 16:45:00,2025-08-05 16:58:00,
63,15,2025-08-05,履歴書・職務経歴書の作成,集中して取り組むことができた。理解が深まった。,午後は眠気があったが、最後まで頑張った。,,2025-08-05 16:29:00,2025-08-05 16:04:00,
64,16,2025-08-05,業務効率化ツールの学習,集中して取り組むことができた。理解が深まった。,少し疲れたが、問題なく取り組めた。,,2025-08-05 16:10:00,2025-08-05 16:10:00,
65,17,2025-08-05,履歴書・職務経歴書の作成,実践的な内容で、就職後に役立ちそう。,体調良好。集中できた。,,2025-08-05 16:03:00,2025-08-05 16:28:00,
66,19,2025-08-05,自己分析ワークショップ,実践的な内容で、就職後に役立ちそう。,,,2025-08-05 16:49:00,2025-08-05 16:06:00,
67,20,2025-08-05,データ入力実務訓練,復習が必要だと感じた。,特に問題なし。,,2025-08-05 16:26:00,2025-08-05 16:06:00,
68,21,2025-08-05,業務効率化ツールの学習,明日も頑張りたい。,午後は眠気があったが、最後まで頑張った。,,2025-08-05 16:03:00,2025-08-05 16:24:00,
69,22,2025-08-05,コミュニケーションスキル訓練,達成感がある一日だった。,体調は良好。,,2025-08-05 16:58:00,2025-08-05 16:28:00,
70,24,2025-08-05,履歴書・職務経歴書の作成,復習が必要だと感じた。,午後は眠気があったが、最後まで頑張った。,,2025-08-05 16:55:00,2025-08-05 16:59:00,
71,25,2025-08-05,ビジネスマナー研修に参加,今日学んだことを明日も継続したい。,午後は眠気があったが、最後まで頑張った。,,2025-08-05 16:02:00,2025-08-05 16:51:00,
72,1,2025-08-06,業務効率化ツールの学習,もう少し時間をかけて学びたかった。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-06 16:34:00,2025-08-06 16:18:00,
73,2,2025-08-06,企業研究と面接準備,達成感がある一日だった。,午後は眠気があったが、最後まで頑張った。,,2025-08-06 16:31:00,2025-08-06 16:15:00,
74,4,2025-08-06,Excel・Wordの実践演習,復習が必要だと感じた。,良好な状態で訓練できた。,,2025-08-06 16:04:00,2025-08-06 16:50:00,
75,5,2025-08-06,履歴書・職務経歴書の作成,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,午後は眠気があったが、最後まで頑張った。,特になし,2025-08-06 16:03:00,2025-08-06 16:07:00,
76,7,2025-08-06,Webサイト制作演習,復習が必要だと感じた。,,特になし,2025-08-06 16:44:00,2025-08-06 16:22:00,
77,8,2025-08-06,Webサイト制作演習,他の利用者と協力して取り組めた。,良好な状態で訓練できた。,特になし,2025-08-06 16:58:00,2025-08-06 16:57:00,
78,9,2025-08-06,ビジネスマナー研修に参加,復習が必要だと感じた。,体調良好。集中できた。,,2025-08-06 16:31:00,2025-08-06 16:18:00,
79,10,2025-08-06,プログラミング基礎（Python）を学習,講師の説明が分かりやすく、理解しやすかった。,良好な状態で訓練できた。,特になし,2025-08-06 16:06:00,2025-08-06 16:37:00,
80,11,2025-08-06,業務効率化ツールの学習,明日も頑張りたい。,若干の頭痛があったが、訓練には影響なし。,,2025-08-06 16:11:00,2025-08-06 16:38:00,
81,12,2025-08-06,コミュニケーションスキル訓練,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,,特になし,2025-08-06 16:11:00,2025-08-06 16:09:00,
82,13,2025-08-06,データ入力実務訓練,他の利用者と協力して取り組めた。,若干の頭痛があったが、訓練には影響なし。,,2025-08-06 16:35:00,2025-08-06 16:29:00,
83,14,2025-08-06,履歴書・職務経歴書の作成,今日学んだことを明日も継続したい。,体調良好。集中できた。,,2025-08-06 16:18:00,2025-08-06 16:09:00,
84,15,2025-08-06,履歴書・職務経歴書の作成,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,朝は少し調子が悪かったが、午後から回復した。,特になし,2025-08-06 16:43:00,2025-08-06 16:20:00,
85,16,2025-08-06,企業研究と面接準備,明日も頑張りたい。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-06 16:12:00,2025-08-06 16:58:00,
86,17,2025-08-06,Excel・Wordの実践演習,集中して取り組むことができた。理解が深まった。,,,2025-08-06 16:12:00,2025-08-06 16:18:00,
87,18,2025-08-06,企業研究と面接準備,実践的な内容で、就職後に役立ちそう。,,,2025-08-06 16:53:00,2025-08-06 16:01:00,
88,19,2025-08-06,企業研究と面接準備,達成感がある一日だった。,,,2025-08-06 16:38:00,2025-08-06 16:37:00,
89,20,2025-08-06,コミュニケーションスキル訓練,集中して取り組むことができた。理解が深まった。,若干の頭痛があったが、訓練には影響なし。,,2025-08-06 16:51:00,2025-08-06 16:10:00,
90,21,2025-08-06,プログラミング基礎（Python）を学習,もう少し時間をかけて学びたかった。,良好な状態で訓練できた。,,2025-08-06 16:49:00,2025-08-06 16:32:00,
91,22,2025-08-06,コミュニケーションスキル訓練,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,良好な状態で訓練できた。,,2025-08-06 16:20:00,2025-08-06 16:12:00,
92,23,2025-08-06,データ入力実務訓練,復習が必要だと感じた。,若干の頭痛があったが、訓練には影響なし。,,2025-08-06 16:57:00,2025-08-06 16:11:00,
93,24,2025-08-06,自己分析ワークショップ,他の利用者と協力して取り組めた。,体調は良好。,特になし,2025-08-06 16:56:00,2025-08-06 16:38:00,
94,1,2025-08-07,コミュニケーションスキル訓練,他の利用者と協力して取り組めた。,体調は良好。,,2025-08-07 16:28:00,2025-08-07 16:58:00,
95,2,2025-08-07,データ入力実務訓練,復習が必要だと感じた。,特に問題なし。,,2025-08-07 16:10:00,2025-08-07 16:58:00,
96,3,2025-08-07,コミュニケーションスキル訓練,明日も頑張りたい。,午後は眠気があったが、最後まで頑張った。,特になし,2025-08-07 16:05:00,2025-08-07 16:56:00,
97,4,2025-08-07,自己分析ワークショップ,もう少し時間をかけて学びたかった。,,特になし,2025-08-07 16:51:00,2025-08-07 16:38:00,
98,5,2025-08-07,履歴書・職務経歴書の作成,集中して取り組むことができた。理解が深まった。,特に問題なし。,,2025-08-07 16:59:00,2025-08-07 16:10:00,
99,6,2025-08-07,履歴書・職務経歴書の作成,明日も頑張りたい。,若干の頭痛があったが、訓練には影響なし。,特になし,2025-08-07 16:20:00,2025-08-07 16:59:00,
100,7,2025-08-07,自己分析ワークショップ,講師の説明が分かりやすく、理解しやすかった。,体調良好。集中できた。,特になし,2025-08-07 16:20:00,2025-08-07 16:20:00,
101,8,2025-08-07,業務効率化ツールの学習,他の利用者と協力して取り組めた。,体調は良好。,,2025-08-07 16:29:00,2025-08-07 16:42:00,
102,9,2025-08-07,履歴書・職務経歴書の作成,他の利用者と協力して取り組めた。,午後は眠気があったが、最後まで頑張った。,,2025-08-07 16:46:00,2025-08-07 16:18:00,
103,10,2025-08-07,履歴書・職務経歴書の作成,集中して取り組むことができた。理解が深まった。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-07 16:21:00,2025-08-07 16:42:00,
104,11,2025-08-07,企業研究と面接準備,明日も頑張りたい。,,特になし,2025-08-07 16:42:00,2025-08-07 16:35:00,
105,12,2025-08-07,コミュニケーションスキル訓練,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,体調は良好。,,2025-08-07 16:06:00,2025-08-07 16:14:00,
106,13,2025-08-07,Webサイト制作演習,集中して取り組むことができた。理解が深まった。,体調良好。集中できた。,,2025-08-07 16:34:00,2025-08-07 16:54:00,
107,14,2025-08-07,Excel・Wordの実践演習,今日学んだことを明日も継続したい。,少し疲れたが、問題なく取り組めた。,,2025-08-07 16:05:00,2025-08-07 16:11:00,
108,15,2025-08-07,履歴書・職務経歴書の作成,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,午後は眠気があったが、最後まで頑張った。,,2025-08-07 16:23:00,2025-08-07 16:47:00,
109,16,2025-08-07,企業研究と面接準備,達成感がある一日だった。,少し疲れたが、問題なく取り組めた。,,2025-08-07 16:34:00,2025-08-07 16:09:00,
110,17,2025-08-07,自己分析ワークショップ,達成感がある一日だった。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-07 16:25:00,2025-08-07 16:19:00,
111,18,2025-08-07,プログラミング基礎（Python）を学習,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,良好な状態で訓練できた。,特になし,2025-08-07 16:20:00,2025-08-07 16:16:00,
112,19,2025-08-07,Webサイト制作演習,達成感がある一日だった。,体調良好。集中できた。,,2025-08-07 16:19:00,2025-08-07 16:48:00,
113,20,2025-08-07,履歴書・職務経歴書の作成,集中して取り組むことができた。理解が深まった。,体調良好。集中できた。,,2025-08-07 16:11:00,2025-08-07 16:36:00,
114,21,2025-08-07,Webサイト制作演習,復習が必要だと感じた。,,,2025-08-07 16:30:00,2025-08-07 16:15:00,
115,22,2025-08-07,コミュニケーションスキル訓練,達成感がある一日だった。,特に問題なし。,,2025-08-07 16:24:00,2025-08-07 16:40:00,
116,24,2025-08-07,自己分析ワークショップ,実践的な内容で、就職後に役立ちそう。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-07 16:49:00,2025-08-07 16:47:00,
117,25,2025-08-07,ビジネスマナー研修に参加,明日も頑張りたい。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-07 16:13:00,2025-08-07 16:18:00,
118,3,2025-08-08,履歴書・職務経歴書の作成,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,良好な状態で訓練できた。,特になし,2025-08-08 16:59:00,2025-08-08 16:27:00,
119,4,2025-08-08,履歴書・職務経歴書の作成,今日学んだことを明日も継続したい。,少し疲れたが、問題なく取り組めた。,特になし,2025-08-08 16:01:00,2025-08-08 16:19:00,
120,5,2025-08-08,ビジネスマナー研修に参加,集中して取り組むことができた。理解が深まった。,若干の頭痛があったが、訓練には影響なし。,特になし,2025-08-08 16:16:00,2025-08-08 16:34:00,
121,6,2025-08-08,Excel・Wordの実践演習,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,若干の頭痛があったが、訓練には影響なし。,,2025-08-08 17:00:00,2025-08-08 16:32:00,
122,7,2025-08-08,業務効率化ツールの学習,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,少し疲れたが、問題なく取り組めた。,,2025-08-08 16:39:00,2025-08-08 16:28:00,
123,8,2025-08-08,履歴書・職務経歴書の作成,他の利用者と協力して取り組めた。,良好な状態で訓練できた。,,2025-08-08 16:39:00,2025-08-08 16:17:00,
124,9,2025-08-08,業務効率化ツールの学習,達成感がある一日だった。,少し疲れたが、問題なく取り組めた。,,2025-08-08 16:32:00,2025-08-08 16:44:00,
125,10,2025-08-08,Excel・Wordの実践演習,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,,特になし,2025-08-08 16:14:00,2025-08-08 16:56:00,
126,11,2025-08-08,自己分析ワークショップ,他の利用者と協力して取り組めた。,朝は少し調子が悪かったが、午後から回復した。,特になし,2025-08-08 16:44:00,2025-08-08 16:47:00,
127,12,2025-08-08,履歴書・職務経歴書の作成,集中して取り組むことができた。理解が深まった。,体調良好。集中できた。,特になし,2025-08-08 16:59:00,2025-08-08 16:12:00,
128,13,2025-08-08,履歴書・職務経歴書の作成,達成感がある一日だった。,特に問題なし。,特になし,2025-08-08 16:25:00,2025-08-08 16:12:00,
129,14,2025-08-08,ビジネスマナー研修に参加,集中して取り組むことができた。理解が深まった。,特に問題なし。,,2025-08-08 16:20:00,2025-08-08 16:51:00,
130,15,2025-08-08,履歴書・職務経歴書の作成,実践的な内容で、就職後に役立ちそう。,体調は良好。,,2025-08-08 16:57:00,2025-08-08 16:15:00,
131,16,2025-08-08,Webサイト制作演習,集中して取り組むことができた。理解が深まった。,特に問題なし。,,2025-08-08 16:10:00,2025-08-08 16:59:00,
132,17,2025-08-08,自己分析ワークショップ,明日も頑張りたい。,午後は眠気があったが、最後まで頑張った。,,2025-08-08 16:36:00,2025-08-08 16:49:00,
133,18,2025-08-08,業務効率化ツールの学習,集中して取り組むことができた。理解が深まった。,体調良好。集中できた。,,2025-08-08 16:34:00,2025-08-08 16:44:00,
134,19,2025-08-08,自己分析ワークショップ,今日学んだことを明日も継続したい。,,,2025-08-08 16:59:00,2025-08-08 16:15:00,
135,20,2025-08-08,Excel・Wordの実践演習,今日学んだことを明日も継続したい。,,,2025-08-08 16:13:00,2025-08-08 16:56:00,
136,21,2025-08-08,Webサイト制作演習,明日も頑張りたい。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-08 16:56:00,2025-08-08 16:13:00,
137,22,2025-08-08,Excel・Wordの実践演習,復習が必要だと感じた。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-08 16:05:00,2025-08-08 16:32:00,
138,23,2025-08-08,コミュニケーションスキル訓練,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,,,2025-08-08 16:48:00,2025-08-08 16:52:00,
139,24,2025-08-08,自己分析ワークショップ,今日学んだことを明日も継続したい。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-08 16:15:00,2025-08-08 16:27:00,
140,25,2025-08-08,Webサイト制作演習,実践的な内容で、就職後に役立ちそう。,少し疲れたが、問題なく取り組めた。,特になし,2025-08-08 16:04:00,2025-08-08 16:12:00,
141,1,2025-08-11,履歴書・職務経歴書の作成,達成感がある一日だった。,午後は眠気があったが、最後まで頑張った。,,2025-08-11 16:14:00,2025-08-11 16:45:00,
142,2,2025-08-11,業務効率化ツールの学習,今日学んだことを明日も継続したい。,少し疲れたが、問題なく取り組めた。,,2025-08-11 16:54:00,2025-08-11 16:32:00,
143,3,2025-08-11,Excel・Wordの実践演習,もう少し時間をかけて学びたかった。,午後は眠気があったが、最後まで頑張った。,,2025-08-11 16:38:00,2025-08-11 16:46:00,
144,5,2025-08-11,ビジネスマナー研修に参加,達成感がある一日だった。,,,2025-08-11 17:00:00,2025-08-11 16:48:00,
145,9,2025-08-11,プログラミング基礎（Python）を学習,他の利用者と協力して取り組めた。,,,2025-08-11 16:06:00,2025-08-11 16:41:00,
146,10,2025-08-11,プログラミング基礎（Python）を学習,他の利用者と協力して取り組めた。,特に問題なし。,,2025-08-11 16:10:00,2025-08-11 16:00:00,
147,11,2025-08-11,Webサイト制作演習,達成感がある一日だった。,少し疲れたが、問題なく取り組めた。,,2025-08-11 16:52:00,2025-08-11 16:17:00,
148,12,2025-08-11,Excel・Wordの実践演習,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,良好な状態で訓練できた。,特になし,2025-08-11 16:38:00,2025-08-11 16:28:00,
149,16,2025-08-11,自己分析ワークショップ,難しい部分もあったが、繰り返し練習して少しずつ理解できるようになった。,,,2025-08-11 16:44:00,2025-08-11 16:07:00,
150,18,2025-08-11,コミュニケーションスキル訓練,明日も頑張りたい。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-11 16:34:00,2025-08-11 16:41:00,
151,19,2025-08-11,Excel・Wordの実践演習,達成感がある一日だった。,若干の頭痛があったが、訓練には影響なし。,,2025-08-11 16:31:00,2025-08-11 16:11:00,
152,20,2025-08-11,プログラミング基礎（Python）を学習,今日学んだことを明日も継続したい。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-11 16:44:00,2025-08-11 16:52:00,
153,21,2025-08-11,自己分析ワークショップ,達成感がある一日だった。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-11 16:39:00,2025-08-11 16:55:00,
154,22,2025-08-11,コミュニケーションスキル訓練,明日も頑張りたい。,少し疲れたが、問題なく取り組めた。,特になし,2025-08-11 16:28:00,2025-08-11 16:13:00,
155,24,2025-08-11,企業研究と面接準備,明日も頑張りたい。,,,2025-08-11 16:57:00,2025-08-11 17:00:00,
156,25,2025-08-11,履歴書・職務経歴書の作成,もう少し時間をかけて学びたかった。,特に問題なし。,,2025-08-11 16:17:00,2025-08-11 16:42:00,
157,1,2025-08-12,自己分析ワークショップ,集中して取り組むことができた。理解が深まった。,,,2025-08-12 16:56:00,2025-08-12 16:08:00,
158,2,2025-08-12,業務効率化ツールの学習,明日も頑張りたい。,体調良好。集中できた。,,2025-08-12 16:40:00,2025-08-12 16:30:00,
159,3,2025-08-12,履歴書・職務経歴書の作成,明日も頑張りたい。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-12 16:19:00,2025-08-12 16:04:00,
160,4,2025-08-12,データ入力実務訓練,明日も頑張りたい。,良好な状態で訓練できた。,,2025-08-12 16:01:00,2025-08-12 16:35:00,
161,5,2025-08-12,プログラミング基礎（Python）を学習,達成感がある一日だった。,良好な状態で訓練できた。,,2025-08-12 16:43:00,2025-08-12 16:43:00,
162,7,2025-08-12,データ入力実務訓練,実践的な内容で、就職後に役立ちそう。,,,2025-08-12 16:39:00,2025-08-12 16:54:00,
163,8,2025-08-12,業務効率化ツールの学習,実践的な内容で、就職後に役立ちそう。,朝は少し調子が悪かったが、午後から回復した。,,2025-08-12 16:32:00,2025-08-12 16:12:00,
164,9,2025-08-12,業務効率化ツールの学習,達成感がある一日だった。,若干の頭痛があったが、訓練には影響なし。,特になし,2025-08-12 16:29:00,2025-08-12 16:15:00,
165,10,2025-08-12,企業研究と面接準備,復習が必要だと感じた。,,,2025-08-12 16:21:00,2025-08-12 16:13:00,
166,11,2025-08-12,自己分析ワークショップ,明日も頑張りたい。,,,2025-08-12 16:06:00,2025-08-12 16:24:00,
167,12,2025-08-12,企業研究と面接準備,明日も頑張りたい。,,特になし,2025-08-12 16:18:00,2025-08-12 16:20:00,
168,14,2025-08-12,プログラミング基礎（Python）を学習,明日も頑張りたい。,午後は眠気があったが、最後まで頑張った。,,2025-08-12 16:32:00,2025-08-12 16:51:00,
169,15,2025-08-12,自己分析ワークショップ,集中して取り組むことができた。理解が深まった。,特に問題なし。,,2025-08-12 16:07:00,2025-08-12 16:53:00,
