id,user_id,report_date,sleep_rating,stress_rating,meal_rating,bed_time_local,wake_time_local,sleep_minutes,mood_score,created_at,updated_at,deleted_at
46,23,2025-08-04,2,1,3,00:30:00,06:30:00,360,7,2025-08-04 08:48:00,2025-08-04 08:59:00,
47,24,2025-08-04,2,1,3,01:15:00,09:45:00,510,7,2025-08-04 08:46:00,2025-08-04 08:44:00,
48,25,2025-08-04,3,1,3,00:30:00,09:30:00,540,9,2025-08-04 08:43:00,2025-08-04 09:00:00,
49,1,2025-08-05,1,1,2,01:45:00,06:00:00,255,6,2025-08-05 08:43:00,2025-08-05 08:32:00,
50,2,2025-08-05,2,2,1,23:30:00,07:30:00,480,5,2025-08-05 08:47:00,2025-08-05 08:58:00,
51,3,2025-08-05,2,2,2,02:30:00,06:45:00,255,4,2025-08-05 08:51:00,2025-08-05 08:30:00,
52,4,2025-08-05,2,2,2,01:45:00,06:00:00,255,7,2025-08-05 08:56:00,2025-08-05 08:50:00,
53,5,2025-08-05,3,3,2,22:30:00,06:30:00,480,5,2025-08-05 08:52:00,2025-08-05 08:40:00,
54,6,2025-08-05,3,3,3,22:00:00,06:15:00,495,6,2025-08-05 08:47:00,2025-08-05 08:53:00,
55,7,2025-08-05,2,1,3,01:15:00,07:15:00,360,6,2025-08-05 08:39:00,2025-08-05 08:50:00,
56,8,2025-08-05,2,2,2,00:00:00,09:15:00,555,8,2025-08-05 08:30:00,2025-08-05 08:34:00,
57,9,2025-08-05,2,1,3,02:00:00,06:15:00,255,6,2025-08-05 08:45:00,2025-08-05 08:30:00,
58,10,2025-08-05,2,1,2,02:45:00,09:00:00,375,7,2025-08-05 08:59:00,2025-08-05 08:33:00,
59,11,2025-08-05,3,2,3,00:45:00,09:15:00,510,6,2025-08-05 08:56:00,2025-08-05 08:57:00,
60,12,2025-08-05,2,2,1,02:30:00,09:00:00,390,7,2025-08-05 08:43:00,2025-08-05 08:34:00,
61,13,2025-08-05,2,1,3,22:15:00,07:15:00,540,6,2025-08-05 08:53:00,2025-08-05 08:52:00,
62,14,2025-08-05,3,1,2,02:15:00,09:45:00,450,5,2025-08-05 08:51:00,2025-08-05 08:33:00,
63,15,2025-08-05,1,2,3,02:45:00,08:30:00,345,4,2025-08-05 08:52:00,2025-08-05 08:55:00,
64,16,2025-08-05,2,2,2,22:45:00,09:45:00,600,7,2025-08-05 08:39:00,2025-08-05 08:44:00,
65,17,2025-08-05,2,1,3,22:45:00,06:30:00,465,7,2025-08-05 08:50:00,2025-08-05 08:58:00,
66,19,2025-08-05,1,2,3,02:45:00,06:30:00,240,7,2025-08-05 08:44:00,2025-08-05 08:58:00,
67,20,2025-08-05,1,1,2,01:30:00,06:15:00,285,5,2025-08-05 08:57:00,2025-08-05 08:57:00,
68,21,2025-08-05,2,3,2,02:15:00,08:45:00,390,5,2025-08-05 08:46:00,2025-08-05 08:32:00,
69,22,2025-08-05,3,3,3,23:15:00,08:30:00,555,6,2025-08-05 08:57:00,2025-08-05 08:55:00,
70,24,2025-08-05,2,2,3,23:30:00,08:45:00,555,8,2025-08-05 08:56:00,2025-08-05 08:50:00,
71,25,2025-08-05,3,1,3,01:45:00,09:15:00,450,4,2025-08-05 08:59:00,2025-08-05 08:46:00,
72,1,2025-08-06,1,3,3,02:30:00,07:30:00,300,7,2025-08-06 08:48:00,2025-08-06 08:41:00,
73,2,2025-08-06,2,3,2,02:45:00,06:00:00,240,7,2025-08-06 08:53:00,2025-08-06 08:35:00,
74,4,2025-08-06,3,3,3,23:00:00,06:45:00,465,6,2025-08-06 08:45:00,2025-08-06 08:40:00,
75,5,2025-08-06,3,1,2,23:15:00,06:15:00,420,5,2025-08-06 08:42:00,2025-08-06 08:54:00,
76,7,2025-08-06,2,1,3,01:00:00,06:30:00,330,7,2025-08-06 08:57:00,2025-08-06 08:53:00,
77,8,2025-08-06,3,3,3,22:45:00,08:00:00,555,5,2025-08-06 08:40:00,2025-08-06 08:33:00,
78,9,2025-08-06,2,2,3,01:45:00,07:15:00,330,6,2025-08-06 08:45:00,2025-08-06 08:44:00,
79,10,2025-08-06,3,1,3,00:15:00,07:15:00,420,7,2025-08-06 08:46:00,2025-08-06 08:55:00,
80,11,2025-08-06,3,2,3,23:00:00,06:00:00,420,7,2025-08-06 08:55:00,2025-08-06 08:34:00,
81,12,2025-08-06,3,1,2,22:30:00,09:00:00,600,7,2025-08-06 08:51:00,2025-08-06 08:53:00,
82,13,2025-08-06,1,3,3,02:45:00,07:15:00,270,7,2025-08-06 08:45:00,2025-08-06 08:46:00,
83,14,2025-08-06,2,2,3,00:30:00,07:00:00,390,7,2025-08-06 08:44:00,2025-08-06 08:43:00,
84,15,2025-08-06,1,2,3,01:00:00,06:15:00,315,8,2025-08-06 08:39:00,2025-08-06 08:33:00,
85,16,2025-08-06,3,3,2,22:45:00,07:00:00,495,5,2025-08-06 08:40:00,2025-08-06 08:30:00,
86,17,2025-08-06,3,2,1,23:30:00,08:45:00,555,6,2025-08-06 08:32:00,2025-08-06 08:57:00,
87,18,2025-08-06,2,2,3,23:30:00,06:15:00,405,7,2025-08-06 08:57:00,2025-08-06 08:46:00,
88,19,2025-08-06,2,1,1,02:30:00,09:00:00,390,4,2025-08-06 08:47:00,2025-08-06 08:52:00,
89,20,2025-08-06,2,3,2,22:45:00,08:00:00,555,6,2025-08-06 08:43:00,2025-08-06 08:38:00,
90,21,2025-08-06,2,2,2,23:30:00,06:15:00,405,4,2025-08-06 08:36:00,2025-08-06 08:47:00,
91,22,2025-08-06,2,2,1,00:00:00,07:45:00,465,6,2025-08-06 09:00:00,2025-08-06 08:48:00,
92,23,2025-08-06,2,2,3,02:00:00,08:00:00,360,5,2025-08-06 09:00:00,2025-08-06 08:43:00,
93,24,2025-08-06,3,2,3,02:00:00,09:15:00,435,3,2025-08-06 08:31:00,2025-08-06 08:33:00,
94,1,2025-08-07,3,2,2,22:45:00,07:30:00,525,6,2025-08-07 08:39:00,2025-08-07 08:55:00,
95,2,2025-08-07,3,2,1,23:00:00,06:00:00,420,7,2025-08-07 08:55:00,2025-08-07 08:36:00,
96,3,2025-08-07,2,2,2,02:45:00,06:45:00,240,7,2025-08-07 08:54:00,2025-08-07 08:42:00,
97,4,2025-08-07,2,1,2,23:45:00,09:15:00,570,9,2025-08-07 08:33:00,2025-08-07 08:58:00,
98,5,2025-08-07,1,2,2,02:30:00,08:15:00,345,7,2025-08-07 08:59:00,2025-08-07 08:31:00,
99,6,2025-08-07,2,3,3,23:15:00,06:00:00,405,9,2025-08-07 08:37:00,2025-08-07 08:43:00,
100,7,2025-08-07,1,2,2,02:00:00,06:15:00,255,8,2025-08-07 08:32:00,2025-08-07 08:31:00,
101,8,2025-08-07,2,1,3,23:45:00,07:30:00,465,7,2025-08-07 08:41:00,2025-08-07 08:49:00,
102,9,2025-08-07,3,2,1,23:30:00,07:45:00,495,7,2025-08-07 08:33:00,2025-08-07 08:51:00,
103,10,2025-08-07,3,2,3,22:00:00,08:15:00,600,6,2025-08-07 08:53:00,2025-08-07 08:56:00,
104,11,2025-08-07,3,1,3,00:15:00,09:30:00,555,4,2025-08-07 08:54:00,2025-08-07 08:47:00,
105,12,2025-08-07,3,2,1,00:15:00,08:30:00,495,8,2025-08-07 08:46:00,2025-08-07 08:33:00,
106,13,2025-08-07,3,2,3,22:30:00,09:45:00,600,4,2025-08-07 08:36:00,2025-08-07 08:59:00,
107,14,2025-08-07,2,2,2,23:15:00,08:15:00,540,6,2025-08-07 08:53:00,2025-08-07 08:56:00,
108,15,2025-08-07,3,1,3,23:00:00,07:45:00,525,5,2025-08-07 08:44:00,2025-08-07 09:00:00,
109,16,2025-08-07,3,3,3,22:00:00,09:00:00,600,8,2025-08-07 08:48:00,2025-08-07 08:42:00,
110,17,2025-08-07,2,2,3,00:00:00,06:30:00,390,4,2025-08-07 08:57:00,2025-08-07 08:49:00,
111,18,2025-08-07,1,3,2,01:45:00,06:45:00,300,6,2025-08-07 08:31:00,2025-08-07 08:37:00,
112,19,2025-08-07,3,1,2,23:45:00,07:45:00,480,5,2025-08-07 08:51:00,2025-08-07 08:39:00,
113,20,2025-08-07,3,3,1,22:30:00,06:30:00,480,5,2025-08-07 08:59:00,2025-08-07 08:38:00,
114,21,2025-08-07,1,1,3,02:15:00,06:30:00,255,7,2025-08-07 08:49:00,2025-08-07 08:43:00,
115,22,2025-08-07,1,2,3,01:00:00,06:45:00,345,7,2025-08-07 08:59:00,2025-08-07 08:51:00,
116,24,2025-08-07,2,1,2,00:45:00,09:30:00,525,7,2025-08-07 08:42:00,2025-08-07 08:44:00,
117,25,2025-08-07,3,2,3,23:15:00,06:30:00,435,6,2025-08-07 09:00:00,2025-08-07 08:38:00,
118,3,2025-08-08,3,1,3,22:15:00,08:30:00,600,6,2025-08-08 08:31:00,2025-08-08 08:49:00,
119,4,2025-08-08,3,1,3,00:30:00,08:30:00,480,6,2025-08-08 08:55:00,2025-08-08 08:54:00,
120,5,2025-08-08,1,2,3,02:00:00,06:30:00,270,8,2025-08-08 08:40:00,2025-08-08 08:56:00,
121,6,2025-08-08,2,1,3,00:15:00,09:45:00,570,8,2025-08-08 08:30:00,2025-08-08 08:44:00,
122,7,2025-08-08,3,1,3,22:30:00,09:15:00,600,6,2025-08-08 08:48:00,2025-08-08 09:00:00,
123,8,2025-08-08,3,1,1,22:30:00,08:00:00,570,6,2025-08-08 08:38:00,2025-08-08 08:54:00,
124,9,2025-08-08,3,3,3,00:30:00,09:15:00,525,6,2025-08-08 08:35:00,2025-08-08 08:34:00,
125,10,2025-08-08,1,2,3,02:00:00,07:00:00,300,4,2025-08-08 08:35:00,2025-08-08 08:51:00,
126,11,2025-08-08,1,2,3,02:45:00,08:00:00,315,4,2025-08-08 08:37:00,2025-08-08 08:31:00,
127,12,2025-08-08,2,2,3,00:30:00,06:30:00,360,6,2025-08-08 08:47:00,2025-08-08 08:52:00,
128,13,2025-08-08,2,1,3,22:15:00,08:00:00,585,5,2025-08-08 08:44:00,2025-08-08 08:33:00,
129,14,2025-08-08,1,2,3,02:00:00,07:15:00,315,5,2025-08-08 08:41:00,2025-08-08 08:56:00,
130,15,2025-08-08,2,1,3,01:00:00,09:30:00,510,6,2025-08-08 08:40:00,2025-08-08 08:49:00,
131,16,2025-08-08,3,2,2,00:30:00,09:30:00,540,6,2025-08-08 08:39:00,2025-08-08 08:49:00,
132,17,2025-08-08,3,1,3,22:15:00,08:00:00,585,5,2025-08-08 08:34:00,2025-08-08 08:59:00,
133,18,2025-08-08,1,2,1,02:00:00,06:15:00,255,4,2025-08-08 08:46:00,2025-08-08 08:52:00,
134,19,2025-08-08,1,3,3,02:30:00,07:45:00,315,4,2025-08-08 08:31:00,2025-08-08 08:51:00,
135,20,2025-08-08,2,3,3,23:45:00,06:00:00,375,5,2025-08-08 09:00:00,2025-08-08 08:59:00,
136,21,2025-08-08,2,2,3,23:45:00,06:00:00,375,6,2025-08-08 08:49:00,2025-08-08 08:45:00,
137,22,2025-08-08,2,2,3,02:45:00,08:30:00,345,6,2025-08-08 08:48:00,2025-08-08 08:39:00,
138,23,2025-08-08,3,1,3,23:30:00,07:30:00,480,4,2025-08-08 08:40:00,2025-08-08 08:53:00,
139,24,2025-08-08,3,1,2,22:15:00,09:45:00,600,6,2025-08-08 08:41:00,2025-08-08 08:47:00,
140,25,2025-08-08,2,2,3,02:00:00,08:45:00,405,5,2025-08-08 08:49:00,2025-08-08 08:37:00,
141,1,2025-08-11,1,3,2,01:45:00,07:15:00,330,7,2025-08-11 08:37:00,2025-08-11 08:54:00,
142,2,2025-08-11,3,1,3,01:15:00,08:30:00,435,5,2025-08-11 08:33:00,2025-08-11 08:32:00,
143,3,2025-08-11,2,1,3,01:45:00,07:45:00,360,6,2025-08-11 08:50:00,2025-08-11 08:58:00,
144,5,2025-08-11,2,1,3,23:15:00,09:00:00,585,6,2025-08-11 08:43:00,2025-08-11 08:38:00,
145,9,2025-08-11,1,3,3,02:45:00,06:15:00,240,8,2025-08-11 08:56:00,2025-08-11 08:43:00,
146,10,2025-08-11,3,2,3,22:15:00,06:15:00,480,7,2025-08-11 08:46:00,2025-08-11 08:59:00,
147,11,2025-08-11,2,2,3,01:45:00,08:15:00,390,9,2025-08-11 08:42:00,2025-08-11 08:52:00,
148,12,2025-08-11,1,1,2,02:15:00,08:00:00,345,5,2025-08-11 08:56:00,2025-08-11 08:58:00,
149,16,2025-08-11,2,2,2,00:00:00,06:00:00,360,5,2025-08-11 08:53:00,2025-08-11 08:59:00,
150,18,2025-08-11,3,3,3,00:45:00,09:45:00,540,6,2025-08-11 08:43:00,2025-08-11 08:39:00,
151,19,2025-08-11,2,2,3,01:15:00,07:00:00,345,7,2025-08-11 08:30:00,2025-08-11 08:48:00,
152,20,2025-08-11,3,2,2,02:30:00,09:45:00,435,5,2025-08-11 08:35:00,2025-08-11 08:46:00,
153,21,2025-08-11,2,3,3,02:30:00,06:15:00,240,4,2025-08-11 08:40:00,2025-08-11 08:31:00,
154,22,2025-08-11,1,3,3,02:45:00,08:30:00,345,9,2025-08-11 08:54:00,2025-08-11 08:35:00,
155,24,2025-08-11,3,1,1,23:00:00,07:45:00,525,8,2025-08-11 08:48:00,2025-08-11 08:58:00,
156,25,2025-08-11,2,3,2,02:30:00,06:30:00,240,5,2025-08-11 08:33:00,2025-08-11 08:39:00,
157,1,2025-08-12,3,2,2,00:45:00,09:15:00,510,6,2025-08-12 08:39:00,2025-08-12 09:00:00,
158,2,2025-08-12,2,2,2,00:00:00,07:30:00,450,8,2025-08-12 08:36:00,2025-08-12 08:47:00,
159,3,2025-08-12,1,1,3,02:15:00,06:00:00,240,6,2025-08-12 08:47:00,2025-08-12 08:47:00,
160,4,2025-08-12,3,2,3,23:00:00,09:00:00,600,6,2025-08-12 08:39:00,2025-08-12 09:00:00,
161,5,2025-08-12,2,3,2,02:45:00,09:15:00,390,4,2025-08-12 08:56:00,2025-08-12 08:44:00,
162,7,2025-08-12,2,3,3,00:00:00,06:45:00,405,6,2025-08-12 08:58:00,2025-08-12 08:43:00,
163,8,2025-08-12,1,1,3,01:30:00,06:15:00,285,4,2025-08-12 08:53:00,2025-08-12 08:51:00,
164,9,2025-08-12,3,1,3,22:30:00,06:15:00,465,8,2025-08-12 08:40:00,2025-08-12 08:35:00,
165,10,2025-08-12,2,2,3,02:30:00,08:45:00,375,8,2025-08-12 08:50:00,2025-08-12 08:53:00,
166,11,2025-08-12,2,2,3,02:00:00,08:00:00,360,6,2025-08-12 08:43:00,2025-08-12 08:33:00,
167,12,2025-08-12,1,3,3,02:30:00,07:00:00,270,7,2025-08-12 08:50:00,2025-08-12 08:30:00,
168,14,2025-08-12,3,2,2,23:15:00,09:15:00,600,8,2025-08-12 08:38:00,2025-08-12 08:45:00,
169,15,2025-08-12,3,1,1,23:45:00,07:45:00,480,8,2025-08-12 08:36:00,2025-08-12 08:50:00,
170,16,2025-08-12,2,1,3,22:15:00,06:45:00,510,3,2025-08-12 08:47:00,2025-08-12 08:49:00,
171,17,2025-08-12,3,3,2,23:15:00,06:45:00,450,8,2025-08-12 08:49:00,2025-08-12 08:42:00,
172,18,2025-08-12,2,1,3,02:15:00,08:45:00,390,6,2025-08-12 08:46:00,2025-08-12 08:51:00,
173,19,2025-08-12,3,3,3,23:30:00,07:30:00,480,3,2025-08-12 08:45:00,2025-08-12 08:55:00,
174,20,2025-08-12,2,2,3,01:30:00,09:30:00,480,6,2025-08-12 08:33:00,2025-08-12 09:00:00,
175,21,2025-08-12,3,2,2,00:45:00,09:30:00,525,4,2025-08-12 08:43:00,2025-08-12 08:33:00,
176,22,2025-08-12,3,1,2,23:45:00,08:00:00,495,7,2025-08-12 08:42:00,2025-08-12 08:52:00,
177,23,2025-08-12,3,1,2,23:45:00,09:45:00,600,7,2025-08-12 08:30:00,2025-08-12 08:39:00,
178,24,2025-08-12,3,1,2,00:15:00,09:00:00,525,5,2025-08-12 08:40:00,2025-08-12 08:38:00,
179,25,2025-08-12,3,3,3,00:45:00,09:45:00,540,5,2025-08-12 08:38:00,2025-08-12 08:59:00,
180,1,2025-08-13,3,1,1,22:30:00,09:15:00,600,7,2025-08-13 08:56:00,2025-08-13 08:31:00,
181,2,2025-08-13,3,1,2,00:45:00,09:15:00,510,6,2025-08-13 08:35:00,2025-08-13 08:47:00,
182,3,2025-08-13,3,1,2,23:00:00,08:15:00,555,4,2025-08-13 08:30:00,2025-08-13 09:00:00,
183,4,2025-08-13,3,2,3,22:45:00,06:30:00,465,5,2025-08-13 08:54:00,2025-08-13 08:54:00,
184,6,2025-08-13,1,3,3,02:00:00,06:15:00,255,6,2025-08-13 08:36:00,2025-08-13 08:35:00,
185,7,2025-08-13,1,1,2,02:45:00,07:30:00,285,7,2025-08-13 08:59:00,2025-08-13 08:41:00,
186,8,2025-08-13,2,1,2,00:45:00,07:15:00,390,7,2025-08-13 09:00:00,2025-08-13 08:30:00,
187,10,2025-08-13,3,1,3,22:00:00,06:45:00,525,4,2025-08-13 08:31:00,2025-08-13 08:35:00,
188,11,2025-08-13,1,2,3,00:30:00,06:15:00,345,8,2025-08-13 08:52:00,2025-08-13 08:37:00,
189,12,2025-08-13,3,1,2,22:30:00,06:45:00,495,7,2025-08-13 08:34:00,2025-08-13 08:56:00,
190,13,2025-08-13,2,2,3,00:00:00,06:00:00,360,6,2025-08-13 08:46:00,2025-08-13 08:53:00,
191,14,2025-08-13,2,1,3,01:00:00,06:15:00,315,4,2025-08-13 08:48:00,2025-08-13 08:55:00,
192,15,2025-08-13,3,1,2,01:15:00,08:30:00,435,6,2025-08-13 08:53:00,2025-08-13 08:30:00,
193,16,2025-08-13,2,1,2,00:30:00,09:15:00,525,5,2025-08-13 08:50:00,2025-08-13 08:48:00,
194,17,2025-08-13,2,1,3,01:45:00,08:45:00,420,4,2025-08-13 09:00:00,2025-08-13 08:43:00,
195,18,2025-08-13,3,2,3,02:30:00,09:30:00,420,6,2025-08-13 08:47:00,2025-08-13 08:46:00,
196,19,2025-08-13,3,1,3,23:45:00,06:45:00,420,8,2025-08-13 09:00:00,2025-08-13 08:41:00,
197,21,2025-08-13,3,2,3,02:00:00,09:15:00,435,4,2025-08-13 08:30:00,2025-08-13 08:42:00,
198,22,2025-08-13,3,1,2,23:45:00,08:45:00,540,6,2025-08-13 08:50:00,2025-08-13 08:39:00,
199,23,2025-08-13,1,2,3,00:15:00,06:00:00,345,4,2025-08-13 08:36:00,2025-08-13 08:57:00,
200,24,2025-08-13,1,1,2,01:15:00,06:15:00,300,7,2025-08-13 08:56:00,2025-08-13 08:45:00,
201,25,2025-08-13,2,1,2,02:15:00,06:45:00,270,5,2025-08-13 08:39:00,2025-08-13 08:53:00,
202,1,2025-08-14,2,1,3,00:15:00,06:30:00,375,5,2025-08-14 08:52:00,2025-08-14 08:48:00,
203,2,2025-08-14,1,1,3,02:45:00,06:30:00,240,6,2025-08-14 08:54:00,2025-08-14 08:47:00,
204,3,2025-08-14,2,1,2,01:45:00,08:15:00,390,6,2025-08-14 08:40:00,2025-08-14 08:44:00,
205,4,2025-08-14,1,3,3,01:00:00,06:45:00,345,5,2025-08-14 08:42:00,2025-08-14 08:34:00,
206,5,2025-08-14,2,1,3,22:15:00,06:15:00,480,7,2025-08-14 08:57:00,2025-08-14 08:33:00,
207,6,2025-08-14,3,3,3,22:45:00,09:15:00,600,3,2025-08-14 08:46:00,2025-08-14 08:45:00,
208,7,2025-08-14,3,2,2,23:45:00,09:00:00,555,7,2025-08-14 08:43:00,2025-08-14 08:39:00,
209,8,2025-08-14,2,1,3,00:30:00,08:15:00,465,4,2025-08-14 08:46:00,2025-08-14 08:51:00,
210,9,2025-08-14,3,1,3,23:30:00,08:45:00,555,6,2025-08-14 08:59:00,2025-08-14 08:40:00,
211,10,2025-08-14,3,1,3,23:15:00,09:00:00,585,6,2025-08-14 08:35:00,2025-08-14 08:34:00,
212,11,2025-08-14,1,2,1,01:00:00,06:30:00,330,4,2025-08-14 08:36:00,2025-08-14 08:52:00,
213,12,2025-08-14,2,1,2,22:45:00,08:00:00,555,8,2025-08-14 08:44:00,2025-08-14 08:49:00,
214,13,2025-08-14,3,1,3,23:00:00,08:15:00,555,5,2025-08-14 08:30:00,2025-08-14 08:59:00,
215,14,2025-08-14,3,2,3,23:30:00,08:45:00,555,2,2025-08-14 08:39:00,2025-08-14 08:41:00,
216,15,2025-08-14,2,1,3,02:45:00,08:15:00,330,5,2025-08-14 08:34:00,2025-08-14 08:33:00,
217,16,2025-08-14,3,3,3,23:30:00,07:30:00,480,7,2025-08-14 08:34:00,2025-08-14 08:55:00,
218,17,2025-08-14,1,3,2,02:45:00,08:30:00,345,5,2025-08-14 08:53:00,2025-08-14 08:57:00,
219,18,2025-08-14,2,1,3,02:45:00,07:15:00,270,8,2025-08-14 08:37:00,2025-08-14 08:36:00,
220,19,2025-08-14,3,1,3,22:15:00,07:15:00,540,6,2025-08-14 08:30:00,2025-08-14 08:40:00,
221,20,2025-08-14,3,1,2,22:00:00,07:45:00,585,7,2025-08-14 08:45:00,2025-08-14 08:40:00,
222,22,2025-08-14,3,2,3,00:00:00,07:45:00,465,5,2025-08-14 08:42:00,2025-08-14 08:52:00,
223,23,2025-08-14,3,1,3,01:30:00,08:30:00,420,8,2025-08-14 08:58:00,2025-08-14 08:49:00,
224,24,2025-08-14,3,2,2,23:15:00,08:15:00,540,5,2025-08-14 08:47:00,2025-08-14 08:44:00,
225,25,2025-08-14,1,2,2,01:30:00,06:45:00,315,6,2025-08-14 08:35:00,2025-08-14 08:30:00,
226,1,2025-08-15,3,1,3,00:45:00,08:45:00,480,9,2025-08-15 08:47:00,2025-08-15 08:58:00,
227,2,2025-08-15,3,1,3,23:45:00,08:15:00,510,6,2025-08-15 08:30:00,2025-08-15 08:36:00,
228,3,2025-08-15,1,1,3,01:30:00,07:00:00,330,7,2025-08-15 08:40:00,2025-08-15 08:33:00,
229,4,2025-08-15,2,2,2,00:30:00,06:30:00,360,7,2025-08-15 08:31:00,2025-08-15 08:50:00,
230,6,2025-08-15,3,2,3,00:45:00,09:00:00,495,5,2025-08-15 08:52:00,2025-08-15 08:38:00,
